__ROW_PATH__,Average Estimated Submitted Charges,Average Total Payments,Outpatient Services,Provider State
,73075527.9620475,12109334.5938301,32665033,35895
AK,76921.76379699999,18282.97548635,27291,58
AL,1536879.181938119,211587.53134967,286564,681
AR,789615.4127854602,144855.87673504997,442708,475
AZ,1254176.0179832212,180332.26306318998,273667,489
CA,7166571.894122104,1005931.6038570501,2011387,2411
CO,1080500.8758897108,164678.60588261014,365214,509
CT,802820.6958106596,170522.1369961001,415742,420
DC,216312.97076227993,37787.44159666,110741,100
DE,100612.89756708003,25899.691685589998,147165,73
FL,5150118.687918423,560892.88868113,1178232,1709
GA,2211107.535571332,341387.9133793894,589944,1054
HI,146506.63981892006,39308.88670072998,91959,104
IA,756253.3793535301,156775.30138877992,459524,498
ID,208007.03268185005,61482.38558658001,344342,198
IL,3929245.4567053113,587404.9630836808,1660944,1740
IN,2116093.507029261,341619.46499834995,600675,1058
KS,851780.5852779204,156655.52888673014,270506,462
KY,1628212.0255789903,243848.93729385975,429009,745
LA,1364909.9428048998,213391.90253557,497220,698
MA,1305403.806668068,400120.6321178805,1704727,962
ME,311398.68715749984,110561.67113262996,730918,351
MI,1704297.5293174775,416925.41315257933,1573973,1314
MN,964004.76018891,264408.5075416998,982795,781
MO,1847555.8531430322,335786.07617618,848367,1038
MS,989344.359265761,138628.80411763993,218217,486
MT,174302.90464935996,61698.49662809002,363169,197
NC,1898794.220655612,345906.0777071101,1192570,1079
ND,117608.02278092,45958.61783296003,469355,138
NE,535525.0827705602,93696.26129783998,111984,279
NH,362779.71406168013,78562.12741018993,544144,236
NJ,2522362.7350473986,336883.37494049984,455113,862
NM,406735.44897248986,74008.34113909998,265271,218
NV,577011.8857993301,73062.01659090999,71823,176
NY,3041187.3551325887,656129.9300067406,1824610,1848
OH,3140037.0047495323,557193.5740762813,1851735,1720
OK,1314598.6538025506,213003.37861316005,431691,674
OR,503313.8537273902,133308.5299771199,364557,434
PA,3986356.2744187554,591551.5490352811,1352224,1880
RI,223431.05023067,49191.578216059956,105702,146
SC,1331037.8713505117,201785.25135825996,373116,640
SD,258969.3857510301,69782.85714645995,358088,207
TN,1864309.1694892792,266477.0597118303,407814,846
TX,6411381.795029691,779826.2839589388,1697135,2416
UT,459197.46715805004,106952.74790376995,224895,326
VA,2006657.6549570172,303370.03426816023,1181013,932
VT,137485.02619175997,37316.60180062,254024,107
WA,1171154.8696968516,250033.86226170007,1046638,692
WI,1463934.197461441,309368.02630609064,1149032,972
WV,478002.15595313004,106499.22237604998,291296,352
WY,180702.6630730999,38691.38984120001,16203,104
